Item,Condition,Target,Letters,Frequency,Syllables
D001,Morph,OSE,3,28.51,1
D002,Morph,TUE,3,16.96,1
D003,Morph,ARME,4,1.15,1
D004,Morph,CITE,4,4.8,1
D005,Morph,ERRE,4,2.64,1
D006,Morph,JOUE,4,40.47,1
D007,Morph,LOUE,4,1.69,1
D008,Morph,AMUSE,5,24.86,2
D009,Morph,BRISE,5,6.08,1
D010,Morph,CASSE,5,17.03,1
D011,Morph,CLOUE,5,1.22,1
D012,Morph,ENTRE,5,58.78,1
D013,Morph,FONDE,5,2.03,1
D014,Morph,GAGNE,5,19.66,1
D015,Morph,MOQUE,5,11.82,1
D016,Morph,PENSE,5,178.04,1
D017,Morph,SERRE,5,27.36,1
D018,Morph,SIGNE,5,7.57,1
D019,Morph,VALSE,5,0.47,1
D020,Morph,AJOUTE,6,29.19,2
D021,Morph,BLESSE,6,3.11,1
D022,Morph,BOUFFE,6,5.61,1
D023,Morph,CHASSE,6,3.83,1
D024,Morph,PROUVE,6,13.45,1
D025,Morph,POSE,4,48.85,1
D026,Morph,MONTRE,6,38.99,1
D027,Morph,PLEURE,6,24.93,1
D028,Morph,POUSSE,6,41.82,1
D029,Morph,ACCUSE,6,6.01,2
D030,Morph,SOIGNE,6,4.66,1
D031,Morph,DÉCIDE,6,20.61,2
D032,Morph,IMPOSE,6,12.77,2
D033,Morph,CHERCHE,7,66.69,1
D034,Morph,ÉCHAPPE,7,18.65,2
D035,Morph,FROTTE,6,8.58,1
D036,Morph,EXPRIME,7,10.34,2
D037,Orth,AIME,4,257.57,1
D038,Orth,DUPE,4,0.27,1
D039,Orth,FIGE,4,12.64,1
D040,Orth,GARE,4,2.77,1
D041,Orth,JUGE,4,29.8,1
D042,Orth,BASE,4,0.27,1
D043,Orth,RASE,4,2.64,1
D044,Orth,VOLE,4,10.1,1
D045,Orth,BOUGE,5,30.88,1
D046,Orth,BOULE,5,0.61,1
D047,Orth,BRÛLE,5,17.77,1
D048,Orth,COUPE,5,17.77,1
D049,Orth,ÉVITE,5,6.35,2
D050,Orth,FERME,5,28.38,1
D051,Orth,FORGE,5,0.74,1
D052,Orth,LANGE,5,0.001,1
D053,Orth,MANGE,5,31.96,1
D054,Orth,MONTE,5,70.34,1
D055,Orth,PANSE,5,0.47,1
D056,Orth,PARIE,5,5.58,2
D057,Orth,ÉGALE,5,1.22,1
D058,Orth,PLACE,5,15.14,1
D059,Orth,ROULE,5,24.3,1
D060,Orth,SAUVE,5,10.41,1
D061,Orth,SONGE,5,17.03,1
D062,Orth,SOUDE,5,0.27,1
D063,Orth,BRASE,5,0.001,1
D064,Orth,ARRIVE,6,164.12,2
D065,Orth,ARROGE,6,0.14,2
D066,Orth,ASSURE,6,27.09,2
D067,Orth,CHANGE,6,18.45,1
D068,Orth,CHARGE,6,7.97,1
D069,Orth,ÉCOUTE,6,83.58,2
D070,Orth,TRAITE,6,8.11,1
D071,Orth,EXPLORE,7,0.68,2
D072,Orth,COMMENCE,8,82.5,2
D073,Sem,ADORE,5,16.76,2
D074,Sem,AVALE,5,9.26,2
D075,Sem,FORME,5,11.89,1
D076,Sem,HURLE,5,18.24,1
D077,Sem,NOUE,4,1.62,1
D078,Sem,MÉRITE,6,13.78,2
D079,Sem,ACCEPTE,7,18.65,2
D080,Sem,DONNE,5,149.26,1
D081,Sem,EPOUSE,6,7.3,2
D082,Sem,GRIMPE,6,8.18,1
D083,Sem,HABITE,6,22.5,2
D084,Sem,LANCE,5,19.19,1
D085,Sem,RACONTE,7,54.12,2
D086,Sem,REFUSE,6,24.19,2
D087,Sem,SITUE,5,4.86,2
D088,Sem,RINCE,5,2.03,1
D089,Sem,TOURNE,6,60.81,1
D090,Sem,TREMBLE,7,14.59,1
D091,Sem,TROMPE,6,15.41,1
D092,Sem,CACHE,5,20.07,1
D093,Sem,CLAQUE,6,11.49,1
D094,Sem,COLLE,5,12.77,1
D095,Sem,DORE,4,1.15,1
D096,Sem,EMPÊCHE,7,41.15,2
D097,Sem,ESPÈRE,6,43.85,2
D098,Sem,NOTE,4,8.72,1
D099,Sem,OUBLIE,6,34.66,2
D100,Sem,PASSE,5,185.61,1
D101,Sem,PORTE,5,79.05,1
D102,Sem,QUITTE,6,32.03,1
D103,Sem,PRIE,4,44.19,1
D104,Sem,TOUCHE,6,29.26,1
D105,Sem,TROUVE,6,163.78,1
D106,Sem,AIDE,4,18.38,1
D107,Sem,PERCE,5,3.45,1
D108,Sem,VEXE,4,1.76,1
D109,ID,TIRE,4,55.14,1
D110,ID,RATE,4,2.91,1
D111,ID,FUME,4,15.2,1
D112,ID,DURE,4,19.05,1
D113,ID,VIDE,4,9.32,1
D114,ID,MÊLE,4,11.01,1
D115,ID,PÈSE,4,13.18,1
D116,ID,RÊVE,4,21.62,1
D117,ID,NAGE,4,2.36,1
D118,ID,TÂCHE,5,3.58,1
D119,ID,DOUTE,5,20,1
D120,ID,CRÈVE,5,10.14,1
D121,ID,DANSE,5,9.8,1
D122,ID,TOMBE,5,60.27,1
D123,ID,SONNE,5,16.82,1
D124,ID,ABUSE,5,1.62,2
D125,ID,TRACE,5,5.54,1
D126,ID,PARLE,5,168.78,1
D127,ID,ÉTALE,5,10.41,2
D128,ID,RESTE,5,153.99,1
D129,ID,MANIE,5,1.55,2
D130,ID,VANTE,5,2.57,1
D131,ID,BOUCLE,6,3.51,1
D132,ID,MANQUE,6,41.49,1
D133,ID,INVITE,6,11.01,2
D134,ID,PLONGE,6,12.91,1
D135,ID,RÉPÈTE,6,37.3,2
D136,ID,PULSE,5,0.2,1
D137,ID,RÉCITE,6,3.72,2
D138,ID,PRÉPARE,7,19.59,2
D139,ID,BORDE,5,2.03,1
D140,ID,OBSERVE,7,16.69,2
D141,ID,RAMASSE,7,10.68,2
D142,ID,EXPLIQUE,8,38.24,2
D143,ID,RETOURNE,8,50.54,2
D144,ID,MOULE,5,0.68,1
D81,Sem,ÉPOUSE,6,7.3,2
N001,nonce,OYE,3,0,
N002,nonce,FRE,3,0,
N003,nonce,TÂFE,4,0,
N004,nonce,TELE,4,0,
N005,nonce,VAYE,4,0,
N006,nonce,LAPE,4,0,
N007,nonce,LÊTE,4,0,
N008,nonce,LIME,4,0,
N009,nonce,MÊGE,4,0,
N010,nonce,NENE,4,0,
N011,nonce,NOVE,4,0,
