Subject,Block,Condition,Item,Acc,RT,Target
102,11,Nonce,N121,1,1119,BACORD
102,12,Nonce,N001,0,1146,OYE
102,13,Sem,D085,1,977,RACONTE
102,14,Orth,D041,1,1033,JUGE
102,15,Orth,D061,1,917,SONGE
102,16,Nonce,N064,1,1040,ÉGIE
102,17,Nonce,N086,0,1409,LAIGNE
102,18,Orth,D048,1,870,COUPE
102,19,Nonce,N058,1,1248,IPTE
102,20,Nonce,N118,1,1273,IMIPE
102,21,Sem,D107,1,1655,PERCE
102,22,Nonce,N117,1,1357,BROYE
102,23,Nonce,N010,1,1440,NENE
102,24,Nonce,N132,0,1017,LOSARE
102,25,Nonce,N005,0,2121,VAYE
102,26,Sem,D081,1,801,ÉPOUSE
102,27,ID,D137,1,657,RÉCITE
102,28,Orth,D068,1,750,CHARGE
102,29,Nonce,N111,1,758,ÉMOPE
102,30,Nonce,N084,0,1401,ITONNE
102,31,Nonce,N127,1,1658,EGRATE
102,32,Nonce,N012,1,968,OLLE
102,33,Nonce,N016,0,1071,GAISE
102,34,Morph,D008,1,672,AMUSE
102,35,Nonce,N066,1,758,BOCTE
102,36,Sem,D088,1,906,RINCE
102,37,Morph,D007,1,984,LOUE
102,38,Sem,D078,1,1265,MÉRITE
102,39,Morph,D013,1,859,FONDE
102,40,ID,D130,1,1000,VANTE
102,41,Nonce,N028,1,904,IBOYE
102,42,Morph,D014,1,711,GAGNE
102,43,Nonce,N047,1,1066,POMPRENE
102,44,Nonce,N088,0,1267,LARCHE
102,45,Nonce,N044,1,1292,LEMASSE
102,46,Morph,D006,1,622,JOUE
102,47,Morph,D011,0,1287,CLOUE
102,48,Nonce,N082,1,1410,FIRGE
102,49,Orth,D069,1,550,ÉCOUTE
102,50,Nonce,N032,1,750,AFANCE
102,51,Morph,D024,1,685,PROUVE
102,52,Orth,D051,1,903,FORGE
102,53,Sem,D105,1,662,TROUVE
102,54,Morph,D019,0,647,VALSE
102,55,Sem,D087,1,1168,SITUE
102,56,Nonce,N074,1,1072,LESTE
102,57,Nonce,N008,1,1281,LIME
102,58,Nonce,N109,0,775,HOURE
102,59,Orth,D060,1,663,SAUVE
102,60,Nonce,N015,1,729,FUIDE
102,61,Nonce,N077,1,1264,NONNE
102,62,ID,D111,1,682,FUME
102,63,Morph,D030,1,944,SOIGNE
102,64,Sem,D086,1,831,REFUSE
102,65,Orth,D066,1,732,ASSURE
102,66,Nonce,N137,1,1114,PROGRAN
102,67,Morph,D032,1,613,IMPOSE
102,68,Nonce,N081,0,1201,VONDE
102,69,Morph,D031,1,674,DÉCIDE
102,70,Morph,D029,1,712,ACCUSE
102,71,Sem,D073,1,547,ADORE
102,72,Nonce,N061,1,850,GULE
102,73,Nonce,N029,0,927,FOULE
102,74,Morph,D028,1,598,POUSSE
102,75,Sem,D083,1,607,HABITE
102,76,Orth,D063,1,1107,BRASE
102,77,Nonce,N144,0,1329,ENDISAGE
102,78,Orth,D072,1,568,COMMENCE
102,79,Nonce,N100,1,1024,TABE
102,80,ID,D142,1,709,EXPLIQUE
102,81,Orth,D058,1,663,PLACE
102,82,Nonce,N112,1,1009,ÉPITE
102,84,Nonce,N113,1,940,EXOGE
